RT,Syllable,Position,Block,Subject,Condition,Trial
0.7213,pu,2,1,0,1,11
1.115,pu,2,1,0,1,21
0.5683,pu,2,1,0,1,26
0.4479,pu,2,1,0,1,35
0.6892,ta,1,1,0,1,10
0.4518,ta,1,1,0,1,16
0.8699,ta,1,1,0,1,29
0.9019,ta,1,1,0,1,41
0.5571,me,3,1,0,1,6
0.5364,me,3,1,0,1,27
0.465,me,3,1,0,1,33
0.4654,me,3,1,0,1,42
0.7209,fe,1,1,0,1,22
0.1849,ko,3,1,0,1,8
0.5596,ko,3,1,0,1,21
0.6047,ko,3,1,0,1,27
0.6339,ko,3,1,0,1,39
0.5241,ti,2,1,0,1,11
0.6156,ti,2,1,0,1,17
0.7182,ti,2,1,0,1,38
0.5664,ni,3,1,0,1,6
0.5028,ni,3,1,0,1,36
0.3725,ni,3,1,0,1,45
0.5333,re,1,1,0,1,7
0.6484,re,1,1,0,1,13
0.7353,re,1,1,0,1,19
0.6564,re,1,1,0,1,31
0.54,fu,2,1,0,1,8
0.7688,fu,2,1,0,1,15
0.5207,fu,2,1,0,1,20
0.5268,ru,1,1,0,1,7
0.6687,ru,1,1,0,1,28
0.636,ru,1,1,0,1,34
0.6011,ru,1,1,0,1,40
0.519,ge,2,1,0,1,14
0.3041,ge,2,1,0,1,19
0.5016,ge,2,1,0,1,32
1.0539,su,3,1,0,1,7
0.5344,su,3,1,0,1,24
0.4676,su,3,1,0,1,39
0.4981,ta,1,2,0,1,10
0.6476,ta,1,2,0,1,22
0.632,ta,1,2,0,1,31
0.5331,ta,1,2,0,1,43
0.6959,ti,2,2,0,1,8
0.7323,ti,2,2,0,1,20
0.5501,ti,2,2,0,1,26
0.668,me,3,2,0,1,6
0.6012,me,3,2,0,1,27
0.6187,me,3,2,0,1,33
0.4846,me,3,2,0,1,42
0.554,pu,2,2,0,1,8
1.1048,pu,2,2,0,1,27
0.8062,pu,2,2,0,1,36
0.5003,su,3,2,0,1,9
0.6163,su,3,2,0,1,21
0.6023,su,3,2,0,1,27
0.5357,su,3,2,0,1,36
0.5743,ru,1,2,0,1,10
0.6499,ru,1,2,0,1,25
0.8389,ru,1,2,0,1,35
1.0244,ru,1,2,0,1,41
0.5158,ko,3,2,0,1,12
0.558,ko,3,2,0,1,27
0.6232,ko,3,2,0,1,36
0.8359,re,1,2,0,1,14
0.9237,re,1,2,0,1,20
0.8544,re,1,2,0,1,32
0.6527,fu,2,2,0,1,5
0.624,fu,2,2,0,1,32
0.6497,ni,3,2,0,1,12
0.6523,ni,3,2,0,1,27
0.5821,ni,3,2,0,1,36
0.738,ni,3,2,0,1,42
0.4548,ge,2,2,0,1,8
0.4676,ge,2,2,0,1,14
1.0368,ge,2,2,0,1,21
0.4688,ge,2,2,0,1,32
0.568,fe,1,2,0,1,4
0.7881,fe,1,2,0,1,17
0.6047,fe,1,2,0,1,31
0.5141,me,3,3,0,1,6
0.6221,me,3,3,0,1,18
0.5049,me,3,3,0,1,24
0.7169,me,3,3,0,1,36
0.7379,ti,2,3,0,1,5
0.6684,ti,2,3,0,1,23
0.7686,ti,2,3,0,1,30
0.6206,ti,2,3,0,1,38
0.5216,ta,1,3,0,1,16
1.1137,ta,1,3,0,1,29
0.6066,ta,1,3,0,1,40
0.5606,pu,2,3,0,1,8
0.6022,pu,2,3,0,1,14
0.6587,pu,2,3,0,1,20
0.5013,pu,2,3,0,1,35
0.5855,ko,3,3,0,1,9
0.6159,ko,3,3,0,1,15
0.6,ko,3,3,0,1,30
0.9477,ko,3,3,0,1,43
0.5706,fe,1,3,0,1,10
0.5018,ge,2,3,0,1,5
0.4853,ge,2,3,0,1,14
0.7349,ge,2,3,0,1,20
0.6018,ge,2,3,0,1,38
0.6916,ru,1,3,0,1,4
1.1513,ru,1,3,0,1,27
0.5545,ru,1,3,0,1,34
0.6007,ru,1,3,0,1,43
0.5268,su,3,3,0,1,12
0.5,su,3,3,0,1,18
0.5892,su,3,3,0,1,30
0.6162,re,1,3,0,1,7
0.5492,re,1,3,0,1,13
0.5701,re,1,3,0,1,19
0.4999,re,1,3,0,1,31
0.6228,ni,3,3,0,1,15
0.5914,ni,3,3,0,1,21
1.0593,ni,3,3,0,1,37
0.5183,fu,2,3,0,1,5
0.8386,fu,2,3,0,1,18
0.6535,fu,2,3,0,1,41
0.6178,me,3,1,1,1,9
0.6042,me,3,1,1,1,30
0.8691,me,3,1,1,1,46
0.6789,ti,2,1,1,1,11
0.8014,ti,2,1,1,1,24
0.6704,ti,2,1,1,1,29
0.5693,ti,2,1,1,1,44
0.4356,ta,1,1,1,1,7
0.4728,ta,1,1,1,1,13
0.487,ta,1,1,1,1,28
0.5219,ta,1,1,1,1,40
0.471,pu,2,1,1,1,8
0.4563,pu,2,1,1,1,29
0.4772,pu,2,1,1,1,35
0.1866,pu,2,1,1,1,40
0.4534,ko,3,1,1,1,6
0.5064,ko,3,1,1,1,18
0.4845,ko,3,1,1,1,30
0.5367,ko,3,1,1,1,42
0.6169,fe,1,1,1,1,4
0.5019,fe,1,1,1,1,16
0.5387,fe,1,1,1,1,31
0.5366,ge,2,1,1,1,5
0.5116,ge,2,1,1,1,17
0.5828,ge,2,1,1,1,29
0.5411,ge,2,1,1,1,41
0.4859,ru,1,1,1,1,7
0.5401,ru,1,1,1,1,13
0.5187,ru,1,1,1,1,25
0.4876,ru,1,1,1,1,34
0.4043,su,3,1,1,1,12
0.472,su,3,1,1,1,21
0.4336,su,3,1,1,1,36
0.4558,su,3,1,1,1,42
0.6169,ni,3,1,1,1,6
0.541,ni,3,1,1,1,27
0.5058,ni,3,1,1,1,36
0.5007,ni,3,1,1,1,45
0.5503,fu,2,1,1,1,11
0.6339,fu,2,1,1,1,32
0.5874,pu,2,1,1,1,26
0.4244,pu,2,1,1,1,41
0.5522,ta,1,1,1,1,4
0.4861,ta,1,1,1,1,16
0.5564,ta,1,1,1,1,25
0.4905,ta,1,1,1,1,31
0.7208,me,3,1,1,1,15
0.7683,me,3,1,1,1,34
0.7883,me,3,1,1,1,43
0.5757,fe,1,1,1,1,13
0.5896,fe,1,1,1,1,31
0.6867,fe,1,1,1,1,37
0.7679,fe,1,1,1,1,44
0.5411,ko,3,1,1,1,9
0.4788,ko,3,1,1,1,15
0.5384,ko,3,1,1,1,21
0.5871,ko,3,1,1,1,45
0.6202,ti,2,1,1,1,14
0.6919,ti,2,1,1,1,32
0.6205,ti,2,1,1,1,38
0.5541,ti,2,1,1,1,44
0.4857,ni,3,1,1,1,9
0.57,ni,3,1,1,1,15
0.5527,ni,3,1,1,1,21
0.5848,ni,3,1,1,1,36
0.6997,fu,2,1,1,1,8
0.6052,fu,2,1,1,1,14
0.6179,ru,1,1,1,1,10
0.4826,ru,1,1,1,1,34
0.4198,ru,1,1,1,1,40
0.3879,ge,2,1,1,1,20
0.4377,su,3,1,1,1,6
0.4009,su,3,1,1,1,24
0.5169,su,3,1,1,1,30
0.4871,su,3,1,1,1,39
0.5083,ta,1,1,1,1,4
0.5768,ta,1,1,1,1,16
0.5369,ta,1,1,1,1,25
0.7512,ta,1,1,1,1,32
0.5222,ti,2,1,1,1,5
0.4178,ti,2,1,1,1,11
0.5541,ti,2,1,1,1,35
0.5034,ti,2,1,1,1,44
0.1872,me,3,1,1,1,23
0.5491,pu,2,1,1,1,8
0.5167,pu,2,1,1,1,14
0.5678,pu,2,1,1,1,20
0.4554,pu,2,1,1,1,35
0.4986,su,3,1,1,1,6
0.5018,su,3,1,1,1,12
0.4674,su,3,1,1,1,36
0.44,su,3,1,1,1,45
0.5172,ru,1,1,1,1,10
0.553,ru,1,1,1,1,25
0.5583,ru,1,1,1,1,34
0.9367,ru,1,1,1,1,41
0.7867,ko,3,1,1,1,13
0.4856,ko,3,1,1,1,27
0.6403,ko,3,1,1,1,36
0.5341,ni,3,1,1,1,12
0.5349,ni,3,1,1,1,27
0.5343,ni,3,1,1,1,36
0.5578,ni,3,1,1,1,42
0.95,ge,2,1,1,1,6
0.7001,ge,2,1,1,1,20
0.7051,ge,2,1,1,1,38
0.4284,fe,1,1,1,1,10
0.5897,fe,1,1,1,1,16
0.5897,fe,1,1,1,1,28
0.5348,fe,1,1,1,1,37
0.4349,pu,2,1,2,1,8
0.7195,pu,2,1,2,1,29
0.4337,pu,2,1,2,1,35
0.391200001,pu,2,1,2,1,41
0.5051,ta,1,1,2,1,4
0.4013,ta,1,1,2,1,25
0.5606,me,3,1,2,1,6
0.434200001,me,3,1,2,1,18
0.4728,me,3,1,2,1,30
0.441499999,me,3,1,2,1,42
0.3588,fe,1,1,2,1,9
0.434699999,fe,1,1,2,1,28
0.4527,fe,1,1,2,1,37
0.4023,ko,3,1,2,1,6
0.340299999,ko,3,1,2,1,17
0.335200001,ko,3,1,2,1,29
0.301099999,ko,3,1,2,1,41
0.8874,ti,2,1,2,1,21
0.4905,ti,2,1,2,1,26
0.4852,ti,2,1,2,1,35
0.5369,ni,3,1,2,1,6
0.498799999,ni,3,1,2,1,27
0.348700001,ni,3,1,2,1,35
0.4654,ni,3,1,2,1,45
0.5175,re,1,1,2,1,13
0.4715,re,1,1,2,1,19
0.5006,re,1,1,2,1,31
0.6348,re,1,1,2,1,43
0.4025,fu,2,1,2,1,8
0.6349,fu,2,1,2,1,14
0.417900001,fu,2,1,2,1,29
0.6336,fu,2,1,2,1,41
0.482500001,ru,1,1,2,1,7
0.523800001,ru,1,1,2,1,13
0.4069,ru,1,1,2,1,25
0.4102,ru,1,1,2,1,34
0.5339,ge,2,1,2,1,5
0.3998,ge,2,1,2,1,17
0.442,ge,2,1,2,1,29
0.452,ge,2,1,2,1,41
0.4476,su,3,1,2,1,12
0.423599999,su,3,1,2,1,21
0.3448,su,3,1,2,1,35
0.6415,su,3,1,2,1,42
0.6025,ta,1,1,2,1,7
0.460700001,ta,1,1,2,1,19
0.570599999,ta,1,1,2,1,25
0.9074,ta,1,1,2,1,38
0.4001,ti,2,1,2,1,5
0.434099999,ti,2,1,2,1,11
0.4567,ti,2,1,2,1,35
0.5582,ti,2,1,2,1,44
0.6004,me,3,1,2,1,15
0.4843,me,3,1,2,1,21
0.586499999,me,3,1,2,1,33
0.427899999,me,3,1,2,1,45
0.393400001,pu,2,1,2,1,8
0.579700001,pu,2,1,2,1,29
0.533800001,pu,2,1,2,1,35
0.4842,pu,2,1,2,1,41
0.502200001,su,3,1,2,1,12
0.6017,su,3,1,2,1,21
0.7045,su,3,1,2,1,36
0.3838,su,3,1,2,1,42
0.4836,ru,1,1,2,1,7
0.766599999,ru,1,1,2,1,14
0.5102,ru,1,1,2,1,25
0.6137,ru,1,1,2,1,34
0.429400001,ko,3,1,2,1,12
0.8165,ko,3,1,2,1,19
0.4007,ko,3,1,2,1,30
0.5289,ko,3,1,2,1,42
0.921799999,re,1,1,2,1,5
0.5865,re,1,1,2,1,25
0.552899999,re,1,1,2,1,31
0.825000001,re,1,1,2,1,41
0.4606,fu,2,1,2,1,8
0.433900001,fu,2,1,2,1,14
0.474900001,fu,2,1,2,1,20
0.5172,fu,2,1,2,1,44
0.723099999,ni,3,1,2,1,12
0.4759,ni,3,1,2,1,21
0.5108,ni,3,1,2,1,27
0.417299999,ni,3,1,2,1,36
0.407700001,ge,2,1,2,1,5
0.400200001,ge,2,1,2,1,32
0.8265,ge,2,1,2,1,45
0.4861,fe,1,1,2,1,4
0.521,fe,1,1,2,1,22
0.510899999,fe,1,1,2,1,28
0.560700001,fe,1,1,2,1,37
0.4446,me,3,1,2,1,15
0.4323,me,3,1,2,1,33
0.4438,me,3,1,2,1,45
0.499500001,ti,2,1,2,1,5
0.5352,ti,2,1,2,1,23
0.542599999,ti,2,1,2,1,29
0.612,ti,2,1,2,1,38
0.588,ta,1,1,2,1,10
0.839200001,ta,1,1,2,1,41
0.521099999,pu,2,1,2,1,8
0.567,pu,2,1,2,1,29
0.8591,pu,2,1,2,1,36
0.4567,pu,2,1,2,1,41
0.382999999,ko,3,1,2,1,12
0.466699999,ko,3,1,2,1,27
0.389999999,ko,3,1,2,1,36
0.510700001,ko,3,1,2,1,42
0.498699999,fe,1,1,2,1,7
0.683200001,fe,1,1,2,1,19
0.3863,fe,1,1,2,1,34
0.5086,ge,2,1,2,1,14
0.4071,ge,2,1,2,1,32
0.400599999,ge,2,1,2,1,41
0.637200001,ru,1,1,2,1,16
0.446,ru,1,1,2,1,25
0.387000001,ru,1,1,2,1,34
0.4845,ru,1,1,2,1,40
0.5172,su,3,1,2,1,12
1.141,su,3,1,2,1,47
0.4213,re,1,1,2,1,4
0.6355,re,1,1,2,1,25
0.8173,re,1,1,2,1,32
0.7669,re,1,1,2,1,41
0.621599999,ni,3,1,2,1,18
0.5906,ni,3,1,2,1,36
0.667199999,ni,3,1,2,1,42
0.4882,fu,2,1,2,1,5
0.4428,fu,2,1,2,1,17
0.6203,fu,2,1,2,1,26
0.500199999,fu,2,1,2,1,32
0.581,pu,2,1,3,1,14
0.716,pu,2,1,3,1,38
0.454,ta,1,1,3,1,13
0.583,ta,1,1,3,1,19
0.55,ta,1,1,3,1,43
0.485,me,3,1,3,1,15
0.504,me,3,1,3,1,24
0.482,me,3,1,3,1,33
0.504,me,3,1,3,1,42
0.567,fe,1,1,3,1,10
0.463,ko,3,1,3,1,6
0.427,ko,3,1,3,1,18
0.509,ko,3,1,3,1,30
0.431,ko,3,1,3,1,42
0.486,ti,2,1,3,1,5
0.437,ti,2,1,3,1,17
0.42,ti,2,1,3,1,32
0.545,ni,3,1,3,1,12
0.51,ni,3,1,3,1,21
0.607,ni,3,1,3,1,27
0.569,ni,3,1,3,1,45
0.474,re,1,1,3,1,7
0.694,re,1,1,3,1,13
0.614,re,1,1,3,1,19
0.505,re,1,1,3,1,31
0.631,fu,2,1,3,1,41
0.601,ru,1,1,3,1,10
0.891,ru,1,1,3,1,20
0.582,ru,1,1,3,1,25
0.542,ru,1,1,3,1,43
0.497,ge,2,1,3,1,5
0.451,ge,2,1,3,1,14
0.525,ge,2,1,3,1,32
0.596,ge,2,1,3,1,44
0.507,su,3,1,3,1,9
0.507,su,3,1,3,1,21
0.57,su,3,1,3,1,36
0.58,me,3,1,3,1,6
0.565,me,3,1,3,1,15
0.654,me,3,1,3,1,21
0.577,ti,2,1,3,1,11
0.639,ti,2,1,3,1,23
0.506,ti,2,1,3,1,44
0.663,ta,1,1,3,1,4
0.69,ta,1,1,3,1,16
0.483,pu,2,1,3,1,8
0.48,pu,2,1,3,1,44
0.462,ko,3,1,3,1,9
0.542,ko,3,1,3,1,21
0.593,ko,3,1,3,1,39
0.833,fe,1,1,3,1,5
0.541,fe,1,1,3,1,34
0.613,fe,1,1,3,1,43
0.478,ge,2,1,3,1,5
0.457,ge,2,1,3,1,14
0.88,ge,2,1,3,1,21
0.452,ge,2,1,3,1,38
0.646,ru,1,1,3,1,10
0.55,ru,1,1,3,1,25
0.551,ru,1,1,3,1,34
0.55,ru,1,1,3,1,40
0.514,su,3,1,3,1,6
0.507,su,3,1,3,1,24
0.908,su,3,1,3,1,31
0.591,su,3,1,3,1,39
0.562,re,1,1,3,1,4
0.551,re,1,1,3,1,16
0.578,re,1,1,3,1,28
0.526,re,1,1,3,1,40
0.501,ni,3,1,3,1,18
0.548,ni,3,1,3,1,27
0.638,ni,3,1,3,1,36
0.711,ni,3,1,3,1,42
0.945,fu,2,1,3,1,24
0.698,ta,1,1,3,1,7
0.645,ta,1,1,3,1,13
0.715,ta,1,1,3,1,28
0.565,ti,2,1,3,1,5
0.643,ti,2,1,3,1,11
0.554,ti,2,1,3,1,35
0.633,me,3,1,3,1,6
0.714,me,3,1,3,1,15
0.515,pu,2,1,3,1,8
0.482,pu,2,1,3,1,29
0.539,pu,2,1,3,1,35
0.598,pu,2,1,3,1,41
0.545,su,3,1,3,1,6
0.572,su,3,1,3,1,24
0.488,su,3,1,3,1,30
0.609,su,3,1,3,1,39
0.583,ru,1,1,3,1,4
0.583,ru,1,1,3,1,25
0.649,ru,1,1,3,1,34
0.894,ru,1,1,3,1,44
0.511,ko,3,1,3,1,12
0.546,ko,3,1,3,1,27
0.455,ko,3,1,3,1,36
0.687,re,1,1,3,1,4
0.56,re,1,1,3,1,16
0.652,re,1,1,3,1,28
0.977,re,1,1,3,1,41
0.536,fu,2,1,3,1,11
0.355,fu,2,1,3,1,22
1.053,fu,2,1,3,1,33
0.701,fu,2,1,3,1,44
0.533,ni,3,1,3,1,12
0.668,ni,3,1,3,1,27
0.713,ni,3,1,3,1,36
0.574,ni,3,1,3,1,42
0.464,ge,2,1,3,1,14
0.461,ge,2,1,3,1,20
0.448,ge,2,1,3,1,32
0.408,ge,2,1,3,1,44
0.566,fe,1,1,3,1,10
0.969,me,3,1,4,1,10
0.555,me,3,1,4,1,15
0.435,me,3,1,4,1,33
0.653,ti,2,1,4,1,20
0.503,ti,2,1,4,1,26
0.324,ti,2,1,4,1,34
0.4,ta,1,1,4,1,10
0.54,ta,1,1,4,1,40
1.176,pu,2,1,4,1,10
0.432,ko,3,1,4,1,6
0.501,ko,3,1,4,1,18
0.552,ko,3,1,4,1,30
0.523,ko,3,1,4,1,42
0.458,fe,1,1,4,1,4
0.933,fe,1,1,4,1,38
0.567,ge,2,1,4,1,5
0.218,ge,2,1,4,1,25
0.486,ge,2,1,4,1,32
0.725,ge,2,1,4,1,41
0.583,ru,1,1,4,1,7
0.436,ru,1,1,4,1,28
0.669,ru,1,1,4,1,40
0.351,su,3,1,4,1,5
0.417,su,3,1,4,1,12
0.353,su,3,1,4,1,35
0.41,su,3,1,4,1,45
0.502,re,1,1,4,1,7
0.453,re,1,1,4,1,28
0.616,re,1,1,4,1,37
0.389,ni,3,1,4,1,15
0.555,fu,2,1,4,1,11
0.673,fu,2,1,4,1,29
0.519,pu,2,1,4,1,8
0.433,pu,2,1,4,1,14
0.668,pu,2,1,4,1,20
0.192,pu,2,1,4,1,34
0.389,ta,1,1,4,1,10
0.531,ta,1,1,4,1,31
0.858,ta,1,1,4,1,44
0.468,me,3,1,4,1,21
0.918,me,3,1,4,1,34
0.62,fe,1,1,4,1,16
0.435,fe,1,1,4,1,28
0.603,fe,1,1,4,1,37
0.519,ko,3,1,4,1,24
0.918,ko,3,1,4,1,34
0.465,ko,3,1,4,1,39
0.668,ko,3,1,4,1,45
0.403,ti,2,1,4,1,23
0.477,ti,2,1,4,1,38
0.519,ni,3,1,4,1,12
0.932,ni,3,1,4,1,28
0.521,ni,3,1,4,1,42
0.544,re,1,1,4,1,7
0.604,re,1,1,4,1,28
0.484,re,1,1,4,1,37
0.65,re,1,1,4,1,43
0.523,fu,2,1,4,1,20
0.819,fu,2,1,4,1,27
0.607,ru,1,1,4,1,10
0.604,ru,1,1,4,1,19
0.916,ru,1,1,4,1,26
0.137,ge,2,1,4,1,4
0.604,ge,2,1,4,1,26
0.39,su,3,1,4,1,6
0.487,su,3,1,4,1,12
0.531,su,3,1,4,1,33
0.55,su,3,1,4,1,39
0.604,ta,1,1,4,1,31
0.616,ta,1,1,4,1,37
0.469,ti,2,1,4,1,11
0.468,ti,2,1,4,1,23
0.601,ti,2,1,4,1,29
0.501,ti,2,1,4,1,44
0.543,me,3,1,4,1,15
0.002,me,3,1,4,1,23
0.654,pu,2,1,4,1,11
0.542,pu,2,1,4,1,26
0.51,pu,2,1,4,1,44
0.44,su,3,1,4,1,15
0.633,su,3,1,4,1,39
0.62,su,3,1,4,1,45
0.47,ru,1,1,4,1,7
0.47,ru,1,1,4,1,13
0.539,ru,1,1,4,1,43
0.586,ko,3,1,4,1,6
0.824,ko,3,1,4,1,19
0.434,ko,3,1,4,1,33
0.499,re,1,1,4,1,7
0.639,re,1,1,4,1,13
0.836,re,1,1,4,1,20
0.536,re,1,1,4,1,31
0.571,fu,2,1,4,1,11
0.033,fu,2,1,4,1,22
0.505,fu,2,1,4,1,44
0.468,ni,3,1,4,1,15
0.501,ge,2,1,4,1,5
0.487,ge,2,1,4,1,14
0.491,ge,2,1,4,1,20
0.386,ge,2,1,4,1,38
0.505,fe,1,1,4,1,10
0.531,fe,1,1,4,1,22
0.328,ta,1,1,5,1,6
0.942,ta,1,1,5,1,41
0.36,ti,2,1,5,1,4
0.683,ti,2,1,5,1,17
0.335,ti,2,1,5,1,31
0.318,me,3,1,5,1,5
0.323,me,3,1,5,1,14
0.452,pu,2,1,5,1,11
0.55,pu,2,1,5,1,20
0.351,pu,2,1,5,1,25
0.459,pu,2,1,5,1,35
0.418,su,3,1,5,1,33
0.484,su,3,1,5,1,39
0.602,su,3,1,5,1,45
0.524,ru,1,1,5,1,10
0.437,ru,1,1,5,1,19
0.409,ru,1,1,5,1,25
0.69,ru,1,1,5,1,34
0.441,ko,3,1,5,1,12
0.385,ko,3,1,5,1,24
0.248,ko,3,1,5,1,32
0.705,ko,3,1,5,1,45
0.409,re,1,1,5,1,4
0.373,re,1,1,5,1,13
0.603,re,1,1,5,1,19
0.534,re,1,1,5,1,37
0.475,fu,2,1,5,1,8
0.402,fu,2,1,5,1,20
0.649,fu,2,1,5,1,38
0.386,ni,3,1,5,1,9
0.542,ni,3,1,5,1,15
0.525,ni,3,1,5,1,39
0.413,ni,3,1,5,1,45
0.451,fe,1,1,5,1,10
0.583,fe,1,1,5,1,22
0.22,me,3,1,5,1,5
0.273,me,3,1,5,1,17
0.351,me,3,1,5,1,23
0.25,me,3,1,5,1,35
0.522,ti,2,1,5,1,11
0.443,ti,2,1,5,1,41
0.27,ta,1,1,5,1,3
1.073,ta,1,1,5,1,17
0.42,ta,1,1,5,1,28
0.669,pu,2,1,5,1,17
0.557,pu,2,1,5,1,26
0.519,pu,2,1,5,1,35
0.501,pu,2,1,5,1,41
0.426,ko,3,1,5,1,12
0.386,ko,3,1,5,1,30
0.475,ko,3,1,5,1,42
0.57,ge,2,1,5,1,5
0.248,ge,2,1,5,1,25
0.471,ge,2,1,5,1,32
0.387,ge,2,1,5,1,41
0.403,ru,1,1,5,1,7
0.52,ru,1,1,5,1,13
0.483,ru,1,1,5,1,37
0.504,ru,1,1,5,1,43
0.436,su,3,1,5,1,6
0.65,su,3,1,5,1,30
0.527,su,3,1,5,1,39
0.387,re,1,1,5,1,4
